dataset,n_control,n_disease,balance,accuracy,sensitivity,specificity,p_value
GSE38642,53,10,0.15873015873015872,0.6507936507936508,0.4,0.6981132075471698,0.41119650756320836
GSE25724,7,6,0.46153846153846156,0.5384615384615384,0.16666666666666666,0.8571428571428571,0.462002288537871
GSE76894,84,19,0.18446601941747573,0.4563106796116505,0.7894736842105263,0.38095238095238093,0.6016537299783273
